id,text
119,@AmazonHelp I bought 499 rs amazon gv from zeta app if I bought membership through this gv will I get 250 cb ?
120,@AmazonHelp You sent a horrible delivery boy right now! Talked horribly to my mother &amp; was not ready to give change either! Not done!
121,@AmazonHelp my account  has been hacked. Was asked to change password to connect and now when I connect it’s another username and address
122,"@119625 Why subtitles are available only for S01E01 of This is Us, but not for the rest of the episodes? @AmazonHelp"
123,"See How @115821 cheats ! Look at contact No. ,only god can call. @AmazonHelp @115850 #Amazon #Cheat #Fraud https://t.co/B8O0FH4Vqp"
124,"@115821 @AmazonHelp 6 days later and still unable to resolve; shame on you AmazonPrime, 10 calls, 3 chats, 7 emails later??"
125,We were using Echo every day to listen to ESPNU on Sirius XM. The lat 4 days it states it could not find a station. @AmazonHelp @115833
126,@AmazonHelp  heyy any news on draws updates ?
127,"I checked mine...in the end i am paying interest on no cost emi...
So how do @115850 @AmazonHelp  @117176 saying it no cost emi (2/2)"
128,@AmazonHelp @115850 do you not provide a complaint no after raising an issue? Or confirm the issue is raised? CCE Mr. hemant INFORMED SO
129,@AmazonHelp issue with app on iphone?
130,@AmazonHelp my Prime delivery was due Sunday. Ordered Saturday.  Then I was told today. Still no delivery. If it’s lost I won’t get refund!
131,fix thix @115821  @AmazonHelp  and dont make promisesyou can't keep. https://t.co/OEtFEvapRe
132,Hi! Ordered One+3T on 21-feb-17 @115850 with CashBack Rs3000. Still waiting for cashBack @AmazonHelp @115821 ..order#406-6541696-8829138 https://t.co/5yT92zxIgx
133,@AmazonHelp 'We have processed your refund of Rs.152.00 for txn ID P04-8042680-5159954 on Faasos.' hey still not received it. Please help
134,@AmazonHelp I bought a perfume for my gf month ago. She started using it today and it seems it was fake: it does not keep on her.
135,"@AmazonHelp @115850 @115851 @12934 [2/2]products for longtime &amp; then get refund. V aren't giving product on rent, but selling"
136,@AmazonHelp Worst shopping n service. Unable to deliver the package even after 10 days of scheduled delivery date. Feeling cheated by Amazon
137,@AmazonHelp @116439 screen mirroring gives only pixilated display after latest update. Please help
138,@AmazonHelp Hey Amazon. I ordered Dragon's Dogma PS4 a few days ago. It's out today. You have stock. Why's my order not dispatched?
139,@115850 @115821 @AmazonHelp @115830 the worst online portal with fools sitting to answer queries.im sure they will not grow here at all
140,@115850 @AmazonHelp : How come you started half baked product Amazon Business in India? So many issues...order gets automatically cancelle
141,@AmazonHelp @115850 no update yet! It’d be better if had applied for a refund. https://t.co/xom0bgQCPZ
142,Bght lg smrt led wrth 45k gt non smart led.Return pickp reqstd sinc 25 sept.no pickup/refund fr lst 10 dys.@AmazonHelp @115851 @115850 https://t.co/z4LL2fBfyA
143,@127852 @AmazonHelp I preordered Star Wars battlefront 2 from Amazon UK and haven’t received the Beta code yet. Any help?
144,I ordered multiple turbans for my aunt in Guatemala who has cancer. @115821 @AmazonHelp has failed to meet the delivery day. https://t.co/UkMsCjOaBc
145,"#AmazonIN One of the Poor Customer Support and Fake Promise ....
Really Worst Customer Service @AmazonHelp @115850"
146,@AmazonHelp Copy of FIR will be sent to your office attaching all the tweets u sent to me n den I will see what r ur policies and options
147,@AmazonHelp @115850 it seems you are setting record for worst delivery. Order#403-9877059-1643504. No control over courier partners.
148,@115850 @AmazonHelp Gt my firestick tv 10 days bk now power adpter stop working.Wn I askd 4 rplacemnt thy suggstd buy new1 later wl refund
149,Since when does @AmazonHelp charge almost $20 for return shipping. I am so dissatisfied with prime...
150,"@AmazonHelp Could you please send me an Amazon email for me to send a complaint, please?"
151,"@AmazonHelp if @115817 won’t deliver our orders to our homes, pls use a different carrier.  Having to pick up defeats purpose of home delivery"
152,@AmazonHelp y does your delivery service bend my book to place in my mailbox when I have been home all day. Plus tear the top off my package
153,"@AmazonHelp @115850 
I rceived msg that below highlighted pckage is delivered to me but actually it is not. The no of agent is unavailable https://t.co/FOjiYBdM9J"
154,"@AmazonHelp I upgraded shipping and paid a lot of money to get something today, but now you're saying maybe by Friday? What gives?!"
155,@115851 @115850 @AmazonHelp  sir amazon india are not taking cognizance on my complaint and giving shelter to fraud courior boy
156,@115850  @AmazonHelp i need refund for my product  asap. I did not like the quality of the product . order no 405-0169564-8765159 .
157,@AmazonHelp I preordered Star Wars Battlefront 2 and I revived my Beta code when I enter in my Xbox it didnt work. @XboxSupport
158,@130723 @AmazonHelp  because of you customer like me is getting harassed and like madly in getting contacted u but still no reply
159,@AmazonHelp benefit of being prime member? https://t.co/FIXq8A79zx
160,@AmazonHelp Very frustrated with Amazon CS. Submitted more than 4 requests and yet no resolution. $600 in lost goods due to lost refund..
161,@AmazonHelp i got an email from amazon saying my email address succesfully changed to a russian one. I never requested an email change.
162,@AmazonHelp i'm currently living in Germany and according to your site my parcels got delivered on weds/fri last week but I don't have them
163,"@AmazonHelp why are Amex txns failing regularly on Amazon.in and the App ? Called bank , they said problem at Amazon's end. Please resolve"
164,"@AmazonHelp @115821 @117634 
How do I turn lock-screen advertisements off? https://t.co/JcFEpWF3FB"
165,@AmazonHelp really frustrated and disappointed guys.. Why u guys aren't uploading this is us season 2 inspite of having the rights of it
166,"@AmazonHelp @115850 
kindly track order no #4__credit_card__
neither product nor refund received even after a month"
167,"@123644 @AmazonHelp I tried with @6553 and @12131 credit cards for Rs. 2 auth payment for AWS hosting but it fails, Please help!"
168,Ordered new @12772 box set 5 movies @AmazonHelp which was out on Monday but so far not arrived 😭 https://t.co/UjQZLPLoGY
169,@AmazonHelp I’ve had payment taken twice and now an email to explain the item hasn’t been dispatched. Please help.
170,"@AmazonHelp been waiting for my 'global store' order for 1 month, and now all i get is 'sorry for inconvenience'. CLASSIC JOB by @115850"
171,"@AmazonHelp @115850 
Hi, I have ordered RAM and now I want to return it. But, Product is not eligible for return."
172,"I am not super impressed with @AmazonHelp I have UK kindle, and German Prime - I can't use my Prime on my UK kindle unless I buy 2x Prime"
173,@AmazonHelp @115850 If you guyz don’t intend to deliver dont put up those bullshit sale pathetic customer support https://t.co/dxaDY9PGcP
174,@AmazonHelp @149601 @116089 I got my early access code to the beta and it says Its not available to me as I ‘havent bought the game’
175,@AmazonHelp @119356 @115850 1st mobile recharge with Amazon pay...but cashback not added to my Amazon wallet
176,"@AskPlayStation @127852 @AmazonHelp pre ordered Battlefront 2, redeemed beta code but can't download on ps4?! Please help!"
177,@AmazonHelp 2/2 today got a text saying it will be late.  Seems poor because your the couriers #vunhappyboy. https://t.co/bi2my27tBN
178,"@123583 Redeemed my @AmazonHelp preorder code on Sunday but just get ""Not available for purchase"" on #StarWarsBattlefrontIIBETA :("
179,@AmazonHelp @116089 @149601 Guys come on... why can't we Amazon preorderers get access to the BF2 beta?! Sort it out guys!
180,Battlefront 2 Beta code: comes up with ‘You might need to redeem it on a different webpage’. I dont. Help?@XboxSupport @115830 @AmazonHelp
181,"@115828 I pre-ordered Battlefront 2 through you, will I be getting a beta code ? @116090 @AmazonHelp"
182,"@AmazonHelp hello, I paid extra for delivery on my order for it to be here yesterday and it’s saying it won’t turn up till tomorrow?"
183,"@AmazonHelp Yo, Amazon. Do you know when Battlefront 2 Beta Codes are being sent out? (Should be today, but still nothing)"
184,@AmazonHelp @116089 @AskPlayStation Amazon codes not working for #BattlefrontIIbeta - any solution?
185,@AmazonHelp I want to buy mi wrist band for health count it is priced at inr1200 approx I HV a inr 500 promo code will it be applicable
186,@158307 @AmazonHelp pre-ordered #StarWarsBattlefrontII and got the #Beta code. Entered it in the #psn but it won’t let me download. https://t.co/bgAzFPchCY
187,"@AmazonHelp Thanks for ur response. My problem is not solvable but I'm happy by your approach.
And pls don't use shit 3rd party courier."
188,"@AmazonHelp Lovefilm website  states that no payments will be taken after 30th September, my account had £6.99 deducted by you yesterday ???"
189,"@115850 @AmazonHelp 
May I know why? And plzz solve my matter ASAP 😢 https://t.co/mfMvgMTw6F"
190,"So.... I get the email from @AmazonHelp for my Battlefront 2 beta and the code has already been used... 
it’s live now.. so annoying"
191,"@AmazonHelp guys i cant log into kindle cloud reader online, it keeps coming up with ""an error occured when trying to load the library"""
192,"Recharged with Amazon Pay Balance, how do I get to know that offer to win iPhone8 applied or not? @115850 @AmazonHelp https://t.co/d7CvlzmyPH"
193,@AmazonHelp do you think it's acceptable to be woken up by a courier knocking your door when the delivery is for your neighbour?
194,@115830 @AmazonHelp I’ve preordered Battlefront II - but no sign of the early beta code yet. When are these being sent out?
195,@AmazonHelp Where's my Battlefront II Beta code? (Amazon UK) Support is no luck I just want my code FFS.
196,@AmazonHelp hello i order something on amazon on october 1st and it is yet to be shipped any idea why??
197,@AmazonHelp van pulled up as I was leaving.He was on phone I looked at him he looked at me. Next thing I know delivery went to neighbour
198,@AmazonHelp I ordered on July 25th. I still do not receive anything and you already charged me. It doesn't let me cancel. Unacceptable. 😡😡😡 https://t.co/fVHv7s0nnw
199,@AmazonHelp pre-ordered the new illustrated Harry Potter in May and it was released yesterday but I still haven't received?!
200,"Surely preordering something means you get it delivered on release day, not 5 days later @115830 @AmazonHelp 🙄 Seriously considering cancelling my Prime membership"
201,"@AmazonHelp really need update on this,no tracking details and also seller not contactng me https://t.co/idporpa7pz"
202,"@AmazonHelp tracking my package it says it arrived, has been scanned but now it says it is out of stock? how can that be the case?"
203,@AmazonHelp Refund not received for an order placed on 22nd September and cancelled.
204,@AmazonHelp my prime order is late and has been marked as “out for delivery” for over 48 hours?
205,"@AmazonHelp I can't log into my account, it's telling me that amazon cannot find an account with my email"
206,"@AmazonHelp @115821 automated chat says it will ship October 9th, yet your site indicates you’ll email me when you can estimate a delivery https://t.co/e3EqR9u0lu"
207,"@AmazonHelp 

1.AS PER YOUR INSTRUCTIONS I HAVE FORWARDED THE MAIL TO THE THIRD PARTY SUPPLIER."
208,I really love when Amazon says they've delivered something through your letterbox but nothing has arrived -.-' @115830 @AmazonHelp
209,"@AmazonHelp hey. I ordered battlefront 2 for ps4 a long time ago. Never received a beta key.Just got ""hung up"" on chat after asking about it"
210,Amazon is doing so many frauds. i oredered iphone7and what is receved is a box with charger and earphone so be carefull@amazonIN@AmazonHelp
211,@AmazonHelp greetings from @158475 . we wanted to be associated for Merchant onboarding for you. Plz guide or suggest
212,@AmazonHelp you guys were supposed to remind me when my membership was due but I didn't get any email therefore was charged
213,@AmazonHelp I've pre-ordered Star Wars Battlefront 2 but haven't received a code for early access to the beta. Please help.
214,@AmazonHelp second failed delivery - building is a business - driver didn’t attempt today - will there be an issue delivering??
215,"@AmazonHelp After canceled orders and delayed order, the only thing left was your customer executives raising their voice. Pathetic services"
216,@AmazonHelp  hi i preordered star wars battle front II and you sent an email with beta code but its not working
217,@AmazonHelp I've preordered the new star wars battlefront 2 on ps4 but haven't received my beta code yet
218,Hey @AmazonHelp I received refund for last amazon prime but now see that the past two months have been charged..I am still being charged https://t.co/ZYYf2D21Bq
219,@AmazonHelp. I cancel my free trial and u guys still charge me...why?
220,@AmazonHelp hi I’ve ordered qualifying products so I could receive the baby box but I’m not getting the option to claim the box.
221,@AmazonHelp The BETA token for Star Wars Battlefront 2 does not work.
222,an @AmazonHelp delivery guy called 2 threaten me 4 giving feedback 4 a product not delivered.Bye bye @115850 u lost a loyal customer today
223,@AmazonHelp @10261 Final request; Now nearly 2 months late on order. RAM Prices are up $1.5+ per GB; Is MD16GK2D3186610AB discontinued?
224,@AmazonHelp I pre ordered Star Was Battlefront II  on XB1 and supposed to get beta code. Does this come from you or am I missing something?
225,@AmazonHelp I'm concerned about transactions happening in my bank account from you guys. It's there a 24hr # I can call
226,"@AmazonHelp my order arrived damaged. given packaging by fulfillment center, awful packaging is cause. Last pic showing crystals on bottom https://t.co/vfTM1PPuFD"
227,"@AmazonHelp 

Still havent recieved my parcel. Could you track where abouts this is please. The tracking number is A10040684583"
228,"@AmazonHelp appalled by the service. Rs 30k product received damaged, been over 12 days still no replacement. Every time I get new excuses!"
229,"@115850 @AmazonHelp your socail media team is useless, have never helped. Only forward a link to call you support. Why is it called A help"
230,"@AmazonHelp Delivery guys aren't calling. I get texts saying ""We tried to deliver"". Every day. Every delivery. For days. (Bangalore)"
231,The apathy exhibited by @115850 's customer service is not just deplorable but warrants retribution. @AmazonHelp @127187 @115821
232,"Had to cancel my order today from @116090 2 day shipping item still not shipped, horrible experience with the CSR. @AmazonHelp"
233,@AmazonHelp hey can you check DMs
234,"@AmazonHelp if i wanna buy an iphone 8plus(64gb) whose price is around 64k,can i pay 10k instant via ntbnking and the rest in no cost emi."
235,"@AmazonHelp I'm facing issue linking my kindle edition to print version. In spite of many emails, it's not getting resolved. What can I do?"
236,Would be great if when you ordered a book from @115821 it didn't come looking like it's been completely battered @AmazonHelp
237,"@AmazonHelp No code for preordering Star Wars Battlefront II physically, and now I can’t use my Amazon store card to buy it digitally? Why??"
238,"@AmazonHelp you guyz fo me new way to cheat customers. Price on website 20K and when you buy,price is changed. You guys are cheaters https://t.co/cYJ6vH5BtD"
239,@AmazonHelp I am located in Florida. How on earth is this acceptable for a 1-day shipping order? This has happened TWICE in a row both 1 day shipping. 2 weeks to get 2 orders with 1 day shipping is ridiculous.. https://t.co/uCMfRos4Gz
240,@AmazonHelp My order says delivered but hasn’t arrived.  How do I get a refund?
241,"When I pay for next day shipping, I expect my package to get here the next day! Being delayed two days is unacceptable. @AmazonHelp"
242,"@AmazonHelp Sir, two items hd ordered mistakely. Then i cancelled this order. But i caouldn't get refund rs 229 which was debited from my ac"
243,@AmazonHelp there is no button to see if I am eligible. 🤔 https://t.co/7CIZmn9zgD
244,@AmazonHelp the inability to get a straight answer from your support team dumbfounds me.  Constant lies &amp; half truths #COMPLAINT #pissedoff
245,"@115850 @AmazonHelp warranty by manufacturer, but no contact details of manufacturer! RUBBISH   Amazon deals for Chor companies https://t.co/0T2yb35KGz"
246,@AmazonHelp Can you please explain why my truthful &amp; factual review of the product I received from your company cannot be posted? https://t.co/x3krZ4uxhW
247,@AmazonHelp I need to return 2 items and have had to get separate return barcodes. Can I send them back together?They were sent in 1 package
248,@AmazonHelp just gone to use Amazon prime and won't deliver until Friday 6th October?
249,@AmazonHelp @115821 box came cut open and retaped from YOUR logistics company. Called AMZL and the sent me right back to CS who won't help https://t.co/nZf0Q9ht8s
250,"@AmazonHelp Hi there, a CD I ordered recently has a large crack on the front of it. I was wondering how it can be replaced; not refunded."
251,"@AmazonHelp your delivery drivers really need training.
Stack them up in front of the door 👍🏽 https://t.co/gvQQuTmvc5"
252,"@AmazonHelp Hi, I cancelled an order yesterday I have got an email stating that also but I was wondering when I’ll be refunded?"
253,@AmazonHelp I didn't get my Voucher details and customer care is playing with me by giving different statements. Worst service. @7189 https://t.co/cQtVjdpogW
254,@AmazonHelp trying to log in on the app &amp; on the normal website and keep getting this and a random email address keeps coming up on the app? https://t.co/IaCLLx9bJf
255,"@AmazonHelp @115850 

Wrongly delivered. Please deliver it to correct id https://t.co/Dy1v5v1kpR"
